,dataset,n,type,volfrac,r,particle_size,cnr,brightness,snr,f_sigma,b_sigma,n_particles
44,x_train,44,very small,0.25,5,0.712316371460611,2.3931576259776266,64,9.78924872841868,10,15,159
45,x_train,45,very small,0.25,4,0.7154620770333202,4.024312746479657,165,1.929848236657017,10,15,287
46,x_train,46,medium,0.25,7,0.3045038549681516,9.409003286552345,38,7.9789885985080335,10,15,68
47,x_train,47,medium,0.25,7,0.3441900659567015,1.0358348689221384,163,6.150609513831741,10,15,65
48,x_train,48,very small,0.25,5,0.7390678952482219,3.2335462239705093,75,9.380874111304651,10,15,157
49,x_train,49,large,0.25,13,0.129124305666633,8.391287449554376,83,9.553359531928455,10,15,11
50,x_train,50,medium,0.25,7,0.9777420884121342,5.980158358068577,151,6.238980108024065,10,15,65
51,x_train,51,medium,0.25,7,0.5351085843972865,7.222525787155153,169,9.678472348978884,10,15,69
52,x_train,52,very small,0.25,4,0.9239558203582868,4.072559798461589,161,5.710222422358031,10,15,303
53,x_train,53,large,0.25,11,0.4597070115058048,8.135676049567941,61,9.964556682672232,10,15,18
54,x_train,54,large,0.25,8,0.7094040801798429,8.476471011532716,40,7.990257740656578,10,15,41
55,x_train,55,large,0.25,13,0.6917624610953436,1.3172779241404529,84,1.0905333460479754,10,15,12
56,x_train,56,large,0.25,8,0.8258404082848111,3.069879268946854,50,5.198349122840112,10,15,43
57,x_train,57,medium,0.25,7,0.5127331821757118,1.3949516280338912,177,7.962509199408681,10,15,64
58,x_train,58,very small,0.25,4,0.7588214745590495,8.662258784015746,100,3.6849065453987895,10,15,298
59,x_train,59,medium,0.25,7,0.5202978633163897,5.5193755192598495,194,2.146050763670215,10,15,61
60,x_train,60,medium,0.25,7,0.4751722649419996,1.8166847170009648,110,5.218324816948037,10,15,62
61,x_train,61,large,0.25,8,0.4921769829716429,5.0153324459915325,53,9.284234398699024,10,15,42
62,x_train,62,large,0.25,13,0.7668620055237506,9.989593280461564,51,5.609271001564415,10,15,14
63,x_train,63,medium,0.25,7,0.908037188067126,5.347985225775719,143,4.364077629993188,10,15,62
64,x_train,64,medium,0.25,7,0.4777925032757973,5.713345118654456,48,4.231275570635029,10,15,75
65,x_train,65,very small,0.25,4,0.9863987314824376,8.427177953427481,175,3.113563924475684,10,15,304
66,x_train,66,very small,0.25,4,0.4796964819147029,1.54029951449018,170,4.491060351184654,10,15,298
67,x_train,67,medium,0.25,7,0.6867953503710361,2.997979345603095,160,5.68016688502599,10,15,61
68,x_train,68,medium,0.25,7,0.7332194361544365,6.681903233937746,35,4.177990879298643,10,15,63
69,x_train,69,medium,0.25,7,0.8662209790549025,3.1871327641475915,69,3.2464725593131263,10,15,65
70,x_train,70,very small,0.25,5,0.3665955434858623,1.7927387022248242,134,6.386304651961116,10,15,158
71,x_train,71,large,0.25,12,0.6937454593966729,5.716836508669726,163,8.492761133818465,10,15,13
72,x_train,72,very small,0.25,5,0.6845141084102793,9.176950601818843,157,7.507773099748244,10,15,151
73,x_train,73,large,0.25,13,0.1735203204668517,3.010351746726536,162,3.3080219109279194,10,15,10
74,x_train,74,large,0.25,8,0.3950333389622518,8.675750601281372,169,8.19894033509357,10,15,46
75,x_train,75,medium,0.25,7,0.4030456189963999,7.979353616458669,75,6.068686526955105,10,15,60
76,x_train,76,very small,0.25,4,0.5099332367165453,1.8492401480457987,157,4.113342871531229,10,15,293
77,x_train,77,large,0.25,12,0.4320697430864156,4.2272240681297095,90,6.50746993504519,10,15,12
78,x_train,78,very small,0.25,4,0.3067169173948852,5.855939043320957,136,1.9220510819690548,10,15,298
79,x_train,79,medium,0.25,7,0.7007988347121071,7.067247991012255,175,9.0192352582406,10,15,57
80,x_train,80,very small,0.25,5,0.7739999885666081,5.7356259849215645,49,6.7995663576568965,10,15,164
81,x_train,81,medium,0.25,7,0.8439389643644367,4.216038715503703,81,8.327137053848904,10,15,63
82,x_train,82,large,0.25,9,0.7523581122750901,6.150173482930012,45,9.70828190138696,10,15,34
83,x_train,83,large,0.25,13,0.8784959557456236,5.392137339151024,123,2.792272384172048,10,15,13
84,x_train,84,medium,0.25,7,0.5547830155661134,5.75052399777912,166,3.8288603090031694,10,15,64
85,x_train,85,very small,0.25,4,0.7264166098154208,4.264917358668937,134,9.370475614555616,10,15,293
86,x_train,86,very small,0.25,4,0.6305057192332372,6.135866450114249,155,7.175746020461773,10,15,295
87,x_train,87,medium,0.25,7,0.4221750832467237,2.976241768761521,70,3.0730073067374315,10,15,63
88,x_train,88,medium,0.25,7,0.1464780205587677,7.206518635170003,41,8.023639095127631,10,15,66
89,x_train,89,large,0.25,11,0.8204174961333213,4.880448270916981,119,5.207306293826674,10,15,20
90,x_train,90,medium,0.25,7,0.3758442491011807,5.761037161256178,117,2.360007839354935,10,15,59
91,x_train,91,medium,0.25,7,0.328146241388479,3.685009983343401,74,5.729037730771238,10,15,60
92,x_train,92,large,0.25,9,0.8344417521659883,8.181964880620768,98,7.306390860138782,10,15,34
93,x_train,93,large,0.25,10,0.7029886279475981,5.4003746015716745,62,9.764728158052328,10,15,26
94,x_train,94,large,0.25,11,0.7506973358218412,1.5583289245567622,94,2.116709933349456,10,15,19
95,x_train,95,medium,0.25,7,0.1971028507453044,5.553335777934164,115,8.505297981347642,10,15,59
96,x_train,96,very small,0.25,4,0.8737653938017036,1.0508526810071808,88,5.284039657031381,10,15,276
97,x_train,97,very small,0.25,4,0.5396434742359923,7.5781147913878115,85,4.752489305443915,10,15,282
98,x_train,98,very small,0.25,5,0.4404143884230497,4.6858656200340585,157,1.962005413285512,10,15,161
99,x_train,99,large,0.25,13,0.3965259788214275,6.584554292586466,145,9.26625198904361,10,15,16
100,x_train,100,large,0.25,12,0.585818955881757,7.212596108314245,176,7.047962081527498,10,15,13
101,x_train,101,medium,0.25,7,0.1472023390124683,9.171385757085575,106,8.575564229456075,10,15,64
102,x_train,102,very small,0.25,5,0.1785162399693375,6.046087086377031,118,4.530499377511214,10,15,163
103,x_train,103,very small,0.25,5,0.827354138933539,8.713626694704018,142,2.994015291548446,10,15,153
104,x_train,104,very small,0.25,5,0.6338010277590038,2.7788729760208577,190,8.195848085631848,10,15,166
105,x_train,105,very small,0.25,4,0.5615812232281563,5.166279140046836,94,4.594261990535711,10,15,305
106,x_train,106,very small,0.25,4,0.948195404279257,7.286230954924884,43,9.300302026716109,10,15,296
107,x_train,107,medium,0.25,7,0.8800924372956086,5.358269201216779,79,5.107617335043205,10,15,53
108,x_train,108,very small,0.25,5,0.8289977345261921,3.857646883606576,44,4.785093247703088,10,15,149
109,x_train,109,medium,0.25,7,0.1827067028686319,8.364163953380338,77,4.205672653312538,10,15,60
110,x_train,110,medium,0.25,7,0.6606166200752157,7.639012565197725,37,6.072448582630871,10,15,64
111,x_train,111,very small,0.25,5,0.2974169033871292,8.155151422583847,67,7.765955833772699,10,15,165
112,x_train,112,medium,0.25,7,0.81473271462064,5.693042118256095,122,3.406853719736336,10,15,68
113,x_train,113,very small,0.25,4,0.8872141265440626,6.607327529268567,104,6.572720071557965,10,15,300
114,x_train,114,very small,0.25,4,0.3922750037445734,8.893621224746333,178,5.823879924951026,10,15,297
115,x_train,115,medium,0.25,7,0.4466194406763915,9.719051031910062,72,4.831313292645127,10,15,62
116,x_train,116,very small,0.25,5,0.4718068059619803,4.078661511375065,147,6.185466546896065,10,15,158
117,x_train,117,medium,0.25,7,0.9919453502218136,2.765855600229957,174,2.5525555765180927,10,15,66
118,x_train,118,large,0.25,13,0.7178896767907305,5.93017033937163,45,2.9155606550571287,10,15,13
119,x_train,119,very small,0.25,4,0.6862499049366583,5.612095106566214,115,5.739617928414323,10,15,296
120,x_train,120,large,0.25,8,0.6752477903694287,2.2255609978830164,46,4.7609386219793945,10,15,44
121,x_train,121,medium,0.25,7,0.5733104706049975,5.119738206597384,79,6.272186334123516,10,15,61
122,x_train,122,medium,0.25,7,0.3903390868380503,6.4100522855271125,83,9.081979027039631,10,15,67
123,x_train,123,very small,0.25,5,0.8774265126509069,8.88003806441788,124,4.991711857268836,10,15,158
124,x_train,124,large,0.25,13,0.91019454950047,4.914222332293638,94,3.498606323855889,10,15,11
125,x_train,125,large,0.25,11,0.7399734054843731,5.417215794223917,119,5.566956432412097,10,15,20
126,x_train,126,medium,0.25,7,0.6052957296513519,5.829161728625994,122,8.549266885853882,10,15,62
127,x_train,127,very small,0.25,4,0.3492534524503067,4.516452193742818,109,9.106373998720937,10,15,293
128,x_train,128,very small,0.25,5,0.5894314924138752,6.399934441684273,107,4.215186854742168,10,15,149
129,x_train,129,very small,0.25,5,0.8841440649111645,5.913059092945007,158,6.703626476841488,10,15,158
130,x_train,130,very small,0.25,4,0.387059750613167,1.4222284358216175,62,7.371192801473189,10,15,277
131,x_train,131,medium,0.25,7,0.9716266979631624,9.474130226850884,178,2.8609480108447687,10,15,67
132,x_train,132,large,0.25,9,0.7746230991443833,8.715255075809367,164,9.05986522794659,10,15,31
133,x_train,133,large,0.25,12,0.595171007164379,3.969474596333929,63,1.7544893174818788,10,15,18
134,x_train,134,very small,0.25,4,0.5929173185344541,2.6523523870192727,174,8.717551927635128,10,15,297
135,x_train,135,medium,0.25,7,0.7169526341799299,8.106119486351144,149,2.156504926507845,10,15,60
136,x_train,136,large,0.25,9,0.7898110060560455,7.643736719098131,133,8.660838564443544,10,15,32
137,x_train,137,medium,0.25,7,0.6475967656759245,1.2521810810132412,109,2.994020409754216,10,15,64
138,x_train,138,medium,0.25,7,0.2172606894207011,6.021145303374286,117,9.720593825725064,10,15,58
139,x_train,139,large,0.25,9,0.3055804023766483,1.3923058735970175,145,6.320235642693247,10,15,32
140,x_train,140,large,0.25,12,0.9390675432672432,1.4635481360705476,126,2.5936834051817,10,15,15
141,x_train,141,medium,0.25,7,0.7646976937285558,5.602206136270148,109,9.944163602657762,10,15,56
142,x_train,142,very small,0.25,4,0.8734585540795607,9.439219822959366,191,5.40462114808238,10,15,287
143,x_train,143,large,0.25,13,0.6746969851521304,1.6698461726002036,115,2.069833200988734,10,15,11
144,x_train,144,very small,0.25,5,0.675823366594426,4.009610423195117,106,8.958610133078656,10,15,155
145,x_train,145,medium,0.25,7,0.4700364182353954,2.149107959616072,76,4.079417403744643,10,15,59
146,x_train,146,very small,0.25,4,0.1977144109175385,4.165676688551729,69,9.743733223718522,10,15,292
147,x_train,147,large,0.25,12,0.4828367264674309,8.705931239096401,157,9.16325042226758,10,15,14
148,x_train,148,large,0.25,12,0.9188285808395464,1.410468301160507,145,9.329991425705112,10,15,15
149,x_train,149,very small,0.25,5,0.1078198367817401,7.344671545132143,122,3.813247343077761,10,15,162
150,x_train,150,large,0.25,8,0.8268471939839245,5.266070825446954,172,8.529461589144205,10,15,42
151,x_train,151,very small,0.25,4,0.7858855844126619,7.264429137658207,132,8.958557026547458,10,15,288
152,x_train,152,medium,0.25,7,0.7733153703883625,9.157262526667813,157,2.8061710816366494,10,15,64
153,x_train,153,very small,0.25,5,0.8163480990124645,2.0350663587090385,84,2.062697981260208,10,15,155
154,x_train,154,medium,0.25,7,0.4583252849735069,5.308877827510731,60,6.5687392758697,10,15,62
155,x_train,155,medium,0.25,7,0.7196898104322743,3.929679250864123,115,6.871644709977636,10,15,60
156,x_train,156,large,0.25,10,0.3418572479493243,5.685705704844048,84,7.09799852632779,10,15,26
157,x_train,157,medium,0.25,7,0.8647226065452944,9.926631989674554,132,5.417804280326656,10,15,58
158,x_train,158,medium,0.25,7,0.9371342342439192,8.072182674824209,139,9.839472391780994,10,15,67
159,x_train,159,very small,0.25,5,0.7224800989561319,5.253563129208258,146,4.215621500133694,10,15,154
160,x_train,160,very small,0.25,4,0.5064263249208467,6.914258620588016,171,5.395312360392617,10,15,300
161,x_train,161,very small,0.25,5,0.1963625259368877,5.24665179687638,151,4.302289162687253,10,15,157
162,x_train,162,medium,0.25,7,0.2308984794283659,7.556703584719224,94,1.7649708921655929,10,15,60
163,x_train,163,large,0.25,13,0.8403855203506555,3.622518200164126,42,6.363085405566424,10,15,13
164,x_train,164,large,0.25,8,0.7054964188019173,8.558861202935311,105,9.068232441016562,10,15,45
165,x_train,165,medium,0.25,7,0.8547454253187686,8.109324403415462,55,1.450268622497903,10,15,59
166,x_train,166,very small,0.25,4,0.4713319386957294,2.0334414943624006,198,9.951115322679051,10,15,268
167,x_train,167,large,0.25,8,0.5163501512030003,2.601101857769583,106,4.877167171281721,10,15,44
168,x_train,168,very small,0.25,5,0.3266044696454471,1.677247079545903,138,3.710831983119515,10,15,153
169,x_train,169,medium,0.25,7,0.9385036841693236,4.920029774514553,189,5.300001331706708,10,15,59
170,x_train,170,medium,0.25,7,0.7006599019946981,9.245898242016466,185,3.2801398951507474,10,15,61
171,x_train,171,large,0.25,8,0.510418607220339,6.05709573645259,82,5.904596128889812,10,15,44
172,x_train,172,very small,0.25,5,0.6744156676930934,3.058959665568564,170,4.484582488810715,10,15,151
173,x_train,173,very small,0.25,4,0.583600579949822,9.364287956285278,146,3.117185943283158,10,15,291
174,x_train,174,very small,0.25,4,0.3694835566898518,6.231007398717462,78,1.3045029349852932,10,15,296
175,x_train,175,medium,0.25,7,0.3644274939281222,1.4481782692525202,180,4.405875216359522,10,15,68
176,x_train,176,large,0.25,13,0.6315729012065624,6.072066163457415,143,2.113887180730321,10,15,14
177,x_train,177,very small,0.25,4,0.6388324833446016,3.68192036985437,70,9.858442403020163,10,15,290
178,x_train,178,very small,0.25,4,0.5606457528509198,7.782171726765942,31,7.244907605758469,10,15,288
179,x_train,179,medium,0.25,7,0.8480165158262906,5.764387479065848,119,4.653001726811733,10,15,59
180,x_train,180,large,0.25,12,0.7654532251628658,6.417072386459117,189,1.873924185498094,10,15,15
181,x_train,181,medium,0.25,7,0.3738743342056059,8.563401499993446,82,4.685540343750301,10,15,63
182,x_train,182,large,0.25,9,0.6587412773014888,9.561707501147527,41,7.384573119388402,10,15,33
183,x_train,183,very small,0.25,4,0.9162898471033054,1.7607432883959833,122,2.5232793648039458,10,15,300
184,x_train,184,large,0.25,12,0.8959430717655821,5.011440420033701,189,9.933571822128547,10,15,16
185,x_train,185,large,0.25,10,0.9515519680650552,3.4845695318017587,99,2.7723505429134616,10,15,25
186,x_train,186,medium,0.25,7,0.474618377080693,5.888034984243116,193,9.752281656706186,10,15,63
187,x_train,187,medium,0.25,7,0.208744355027139,5.846576346537621,142,3.798129081500445,10,15,57
188,x_train,188,medium,0.25,7,0.731214574854427,5.52503710415309,111,8.842709968946409,10,15,62
189,x_train,189,large,0.25,10,0.9672761930467096,5.835980338749159,110,8.943272475305601,10,15,20
190,x_train,190,very small,0.25,4,0.4520116555273559,6.965711294725697,74,7.60781325915054,10,15,296
191,x_train,191,medium,0.25,7,0.568052643474018,3.3854129469731795,68,8.171035881914408,10,15,61
192,x_train,192,large,0.25,8,0.8796048514834287,4.76639220988497,44,2.1247340043705014,10,15,47
193,x_train,193,medium,0.25,7,0.1230190698663183,8.857152544576357,154,5.263377436134549,10,15,63
194,x_train,194,large,0.25,8,0.4127490996663708,1.5092688104024377,114,1.5946647336468514,10,15,46
195,x_train,195,medium,0.25,7,0.5497724996559827,3.662122599155434,135,3.560534402685741,10,15,59
196,x_train,196,very small,0.25,4,0.6731948996193198,5.281563421764466,109,6.5318306638582655,10,15,294
197,x_train,197,very small,0.25,4,0.1493589296283205,2.1509512774242534,141,5.641414595778164,10,15,296
198,x_train,198,medium,0.25,7,0.2107759649654014,7.507764493243491,59,3.275583653849019,10,15,56
199,x_train,199,medium,0.25,7,0.4840323418755963,9.078275412647503,149,6.160889842919668,10,15,59
200,x_train,200,large,0.3,11,0.615907600774636,2.2272396845625524,82,1.9424550713541109,10,15,22
201,x_train,201,medium,0.3,7,0.7139225550578514,8.617099802111532,110,6.138258544038615,10,15,74
202,x_train,202,large,0.3,11,0.5272411563843362,4.05234569851356,44,6.170340069869506,10,15,23
203,x_train,203,medium,0.3,7,0.6846251727587046,7.778843565370238,107,2.9138419225944405,10,15,73
204,x_train,204,medium,0.3,7,0.4441428184716159,7.651280377081616,106,1.6766316681940312,10,15,79
205,x_train,205,large,0.3,9,0.4955880816131375,5.787420825908269,49,3.457639411592186,10,15,40
206,x_train,206,large,0.3,10,0.4384520006526754,2.517486241921705,117,4.1473498169079495,10,15,33
207,x_train,207,very small,0.3,4,0.1966658443368472,6.04808995778054,115,5.461800197868818,10,15,354
208,x_train,208,very small,0.3,5,0.8382232230934976,8.978730503855353,153,5.761636148406976,10,15,181
209,x_train,209,large,0.3,11,0.8594527699311496,7.192287206006821,186,8.207930613820835,10,15,25
210,x_train,210,large,0.3,8,0.3310218356194723,2.311523305112809,68,9.9097494322689,10,15,49
211,x_train,211,large,0.3,10,0.3190340535109979,9.979477100995762,189,3.785990795552359,10,15,28
212,x_train,212,very small,0.3,5,0.787538675367515,4.955096543981032,150,9.633675754991248,10,15,197
213,x_train,213,very small,0.3,4,0.8060122205215575,2.2721187165594428,127,6.195857456564845,10,15,364
214,x_train,214,large,0.3,13,0.1830744933452583,6.732454175321821,164,5.7428465047745085,10,15,11
215,x_train,215,very small,0.3,5,0.994658271411523,8.037179615253775,96,5.568981016338847,10,15,189
216,x_train,216,medium,0.3,7,0.1075675387759964,2.715097178305549,112,4.745021983428442,10,15,72
217,x_train,217,very small,0.3,4,0.99601456416393,9.85934967455191,145,5.429343225229999,10,15,363
218,x_train,218,medium,0.3,7,0.7373769943646,5.280738060236171,116,4.671330671225819,10,15,82
219,x_train,219,large,0.3,9,0.1912153899882891,7.810335239866658,182,3.589087293085327,10,15,41
220,x_train,220,very small,0.3,4,0.5166950919203273,2.6539418750596875,75,4.218420816565496,10,15,361
221,x_train,221,very small,0.3,5,0.4649255962788341,9.17575452172451,69,4.251694158280687,10,15,187
222,x_train,222,medium,0.3,7,0.3577609946267243,7.500862251495207,122,6.175242830517979,10,15,73
223,x_train,223,medium,0.3,7,0.7688071714537532,8.61159818780785,129,7.319547988303954,10,15,75
224,x_train,224,medium,0.3,7,0.7446889486660826,5.544914341537908,157,6.126033619380701,10,15,79
225,x_train,225,very small,0.3,4,0.7212226625031944,7.90044182892629,140,4.242238910861145,10,15,359
226,x_train,226,very small,0.3,4,0.8842370958013731,2.719284822675869,168,5.6698953548643205,10,15,345
227,x_train,227,very small,0.3,4,0.9292727974053592,7.621842269837709,150,2.8738793989934184,10,15,341
228,x_train,228,medium,0.3,7,0.8365186897398932,1.7718199637387857,162,7.799639615855393,10,15,65
229,x_train,229,medium,0.3,7,0.2763594646842945,9.575877184379776,105,3.621011740168262,10,15,72
230,x_train,230,large,0.3,10,0.1694817340907002,3.1768225476599743,81,6.42751862452362,10,15,27
231,x_train,231,medium,0.3,7,0.8709311127403281,3.8086291255998175,187,8.334111006388687,10,15,72
232,x_train,232,large,0.3,10,0.981039193777114,8.553488773149592,37,8.783675537923429,10,15,30
233,x_train,233,very small,0.3,5,0.9145652540562568,7.036507795012394,149,1.2269778481819156,10,15,188
234,x_train,234,very small,0.3,5,0.8028876177130192,5.140315446185076,109,7.178567259572748,10,15,190
235,x_train,235,medium,0.3,7,0.6544667413000649,5.754477852372448,152,6.499237541293186,10,15,76
236,x_train,236,medium,0.3,7,0.5905999802041014,7.494194578884239,63,4.213585734080554,10,15,70
237,x_train,237,medium,0.3,7,0.2288547244461609,7.294594964707685,166,6.44050255476232,10,15,74
238,x_train,238,medium,0.3,7,0.5961207527417498,2.7088247879749843,120,2.704460382004686,10,15,67
239,x_train,239,medium,0.3,7,0.2803955502449745,6.020910298030313,74,6.824977546110593,10,15,76
240,x_train,240,very small,0.3,5,0.3957306521318079,5.624667227205948,149,7.440454075726221,10,15,193
241,x_train,241,medium,0.3,7,0.8168984561825309,7.733465282818161,176,3.592177675278148,10,15,77
242,x_train,242,very small,0.3,4,0.467474266046034,7.915495524356451,175,5.937947249178154,10,15,366
243,x_train,243,medium,0.3,7,0.5614759591470726,8.737066514664185,150,2.956773390860138,10,15,77
244,x_train,244,large,0.3,10,0.2813475283639429,1.4134866039356593,188,6.534503908396072,10,15,27
245,x_train,245,large,0.3,9,0.8773988928529669,4.36292061688809,169,1.9324507518154783,10,15,41
246,x_train,246,medium,0.3,7,0.890470891489185,8.033036509664873,76,2.1199049191366504,10,15,78
247,x_train,247,large,0.3,11,0.4106746669291654,6.196389794925002,150,4.4745110171474085,10,15,22
248,x_train,248,large,0.3,11,0.3667412635306019,2.455369356709646,158,2.182304322983553,10,15,23
249,x_train,249,medium,0.3,7,0.401060486593725,9.545117749545163,87,5.866037511247524,10,15,71
250,x_train,250,very small,0.3,4,0.174203237489383,3.0278933507739163,158,5.348743567898122,10,15,362
251,x_train,251,very small,0.3,4,0.1013350131008828,5.168280684258846,58,6.1032448749487695,10,15,357
252,x_train,252,very small,0.3,5,0.8564852840042644,9.713498730779046,35,2.5775497047068434,10,15,191
253,x_train,253,very small,0.3,5,0.8290048885788751,8.560213065376026,146,8.189622317347924,10,15,190
254,x_train,254,medium,0.3,7,0.1119525317178589,1.6098560918928866,69,8.770312325136533,10,15,77
255,x_train,255,medium,0.3,7,0.9737209584748276,5.468218822977162,172,3.2604918045943707,10,15,77
256,x_train,256,very small,0.3,4,0.6376775851764799,2.190689830970709,142,8.118656560441266,10,15,332
257,x_train,257,large,0.3,9,0.2256662774808661,1.7480598678491703,72,6.485383096487224,10,15,39
258,x_train,258,very small,0.3,5,0.5394475816893683,8.811297199307095,155,2.422125190404726,10,15,187
259,x_train,259,medium,0.3,7,0.3571075709320226,1.6182919489107406,83,5.232140584449838,10,15,76
260,x_train,260,large,0.3,8,0.3014591123141028,9.338268589752031,109,5.263510625691957,10,15,50
261,x_train,261,large,0.3,12,0.7739102100870188,5.622835722238459,46,3.679660167052613,10,15,16
262,x_train,262,very small,0.3,5,0.4424337724898033,7.625809794856537,129,6.807174123200766,10,15,182
263,x_train,263,large,0.3,10,0.9494187045009166,1.1910506837144876,64,1.9832438251461284,10,15,28
264,x_train,264,medium,0.3,7,0.6578648384367987,5.595747683561665,182,7.547688331897516,10,15,70
265,x_train,265,large,0.3,8,0.525660953036166,2.145903690781497,170,9.924644863515276,10,15,48
266,x_train,266,very small,0.3,4,0.1049464939155789,1.6817501155975183,156,7.0751408365800526,10,15,358
267,x_train,267,medium,0.3,7,0.4433674313133467,8.95947748405122,193,6.814863399608423,10,15,79
268,x_train,268,medium,0.3,7,0.5723637135987357,3.1109461915219234,99,2.1587508558600312,10,15,76
269,x_train,269,medium,0.3,7,0.1921864118130423,4.888549074667285,170,7.636003952403371,10,15,77
270,x_train,270,very small,0.3,5,0.520877799792385,9.92643490002154,129,3.9590989809589687,10,15,188
271,x_train,271,medium,0.3,7,0.2225843725506092,4.72775620221346,78,9.21493230998557,10,15,70
272,x_train,272,large,0.3,9,0.9986488732099796,8.141595987499631,160,6.807771590234722,10,15,34
273,x_train,273,large,0.3,10,0.9800478037013896,5.912016156546951,84,2.476436090948297,10,15,26
274,x_train,274,very small,0.3,4,0.8107313909817857,4.676859435792801,162,6.090295297496261,10,15,344
275,x_train,275,medium,0.3,7,0.3301725117898006,1.4298783544072171,50,4.630555986643191,10,15,78
276,x_train,276,very small,0.3,5,0.8236915744111103,5.592239745629162,107,5.519189924291668,10,15,184
277,x_train,277,large,0.3,11,0.9504235114145828,9.60427882785418,191,5.758176943940342,10,15,25
